Tactic ,Technique,Procedure,Indicator
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,1326 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,80 Pages
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,1 Groups 
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,1 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.8 Acquiring accounts on online forums,http://change[.]org/p/tsy-afaka-mirotsaka-ho-fidiana-fo-filoham-pirenena-intsony-ny-rajoelina/nftexp/fht-37311859-en-gb/cv_287912/1315562991
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,http://t[.]me/sanduofficial
